Rack,Group,Chla (mg/m2)
14,C,34.23075455
14,P,16.94591809
14,NP,34.90859128
14,P,17.96267318
14,N,33.89183619
14,NP,41.34804015
14,C,27.79130568
14,P,12.20106103
2,NP,144.0403038
2,NP,165.2227014
2,P,11.86214267
2,C,15.25132629
2,P,9.998091676
2,P,10.50646922
2,N,108.4538758
2,NP,139.8038243
2,N,81.00148849
2,N,74.56203962
2,NP,157.5970383
2,P,14.91240792
2,P,11.5232243
2,N,88.45769245
2,N,97.26956986
2,C,10.6759284
2,C,11.5232243
2,C,9.828632495
2,C,14.2345712
7,N,159.2916301
7,P,19.99618335
7,N,189.7942827
7,N,181.3213236
7,P,15.25132629
7,C,59.31071333
7,P,19.99618335
7,P,17.62375482
7,C,64.0555704
7,NP,186.405099
7,NP,215.2131598
7,C,45.75397886
7,NP,184.7105072
7,P,15.92916301
7,N,174.5429564
7,NP,167.7645891
7,NP,96.59173314
7,N,122.0106103
7,C,61.00530514
7,C,61.00530514
3,C,57.27720316
3,NP,210.1293844
3,N,252.4941796
3,NP,206.7402008
3,N,167.7645891
3,N,154.2078547
3,N,198.2672417
3,C,54.2269379
3,P,25.07995878
3,N,152.5132629
3,P,14.91240792
3,P,18.97942827
3,NP,166.0699973
3,P,13.21781611
3,C,61.3442235
3,P,21.01293844
3,C,56.26044807
3,C,49.8209992
3,NP,174.5429564
3,NP,205.0456089
17,NP,29.3164383
17,P,2.372428533
17,P,4.405938705
17,NP,35.586428
17,C,12.20106103
17,P,2.541887714
17,N,45.41506049
17,C,8.472959047
17,NP,30.16373421
17,N,49.14316247
17,N,42.7037136
17,P,6.947826419
17,P,2.033510171
17,N,46.94019312
17,N,36.60318308
18,N,40.33128507
18,N,41.68695851
18,P,22.70753025
18,NP,32.8750811
18,NP,47.44857067
18,C,31.18048929
18,P,19.65726499
18,N,46.09289722
18,P,22.36861189
18,C,43.72046868
5,N,6.100530514
5,P,4.405938705
5,P,10.84538758
5,NP,8.811877409
5,C,25.7577955
5,P,5.761612152
5,C,44.05938705
5,P,19.99618335
5,NP,0.677836724
5,N,11.86214267
5,C,45.75397886
5,N,53.54910118
5,NP,2.372428533
5,C,27.45238731
5,N,28.4691424
5,C,130.4835693
5,N,6.100530514
5,NP,2.711346895
5,P,6.778367238
5,NP,61.3442235
19,N,67.44475402
19,N,115.232243
19,C,24.74104042
19,C,37.61993817
19,P,8.811877409
19,NP,89.8133659
19,C,28.4691424
19,P,15.25132629
19,P,16.94591809
19,N,179.6267318
19,N,123.7052021
19,NP,50.15991756
19,P,7.456203962
19,N,116.9268349
15,N,103.3701004
15,C,27.11346895
15,N,71.51177436
15,NP,60.66638678
15,C,33.55291783
15,P,13.21781611
15,NP,74.56203962
15,N,70.83393764
15,P,27.11346895
15,C,29.48589748
15,P,14.91240792
15,P,11.18430594
15,NP,79.64581505
15,C,39.31452998
15,N,45.07614213
15,N,69.81718255
8,NP,111.8430594
8,P,8.134040685
8,NP,140.6511202
8,P,4.744857067
8,NP,108.4538758
8,C,16.26808137
8,C,19.99618335
8,N,128.7889775
4,P,32.8750811
4,N,57.61612152
4,NP,57.95503988
4,C,44.22884623
4,N,58.12449906
4,NP,67.78367238
4,N,70.49501927
4,P,33.21399947
4,C,41.34804015
4,P,29.14697912
4,P,34.90859128
4,NP,51.85450937
4,NP,43.72046868
4,N,51.51559101
4,P,42.36479524
4,N,52.36288691
4,C,36.94210145
4,C,37.78939735
4,NP,61.3442235
4,C,46.60127476
6,P,9.828632495
6,N,162.6808137
6,NP,216.9077516
6,NP,81.34040685
6,N,155.9024465
6,C,22.70753025
6,NP,86.42418228
6,P,34.56967291
6,P,22.02969352
6,N,196.5726499
6,C,39.65344834
6,P,13.55673448
6,NP,223.6861189
9,P,13.21781611
9,NP,62.69989695
9,N,62.36097859
9,P,14.57348956
9,N,58.29395825
9,C,22.70753025
9,C,42.7037136
9,N,49.8209992
9,P,30.16373421
9,P,22.36861189
9,NP,73.88420289
9,C,49.14316247
9,NP,64.39448876
9,N,71.172856
9,P,19.99618335
1,N,77.27338651
1,NP,88.11877409
1,NP,55.92152971
1,C,47.1096523
1,NP,56.9382848
1,C,34.56967291
1,P,19.31834663
1,NP,61.3442235
1,C,27.45238731
1,NP,61.3442235
1,P,15.59024465
1,P,27.45238731
1,P,12.53997939
1,N,57.95503988
1,N,70.49501927
1,C,36.26426472
1,N,60.66638678
1,P,18.97942827
1,C,26.77455059
1,N,67.44475402
10,NP,33.55291783
10,NP,32.53616274
10,C,6.100530514
10,N,46.09289722
10,NP,36.26426472
10,C,7.1172856
10,P,5.42269379
10,N,74.22312125
10,N,43.38155032
10,P,4.744857067
10,C,6.439448876
10,NP,58.29395825
10,P,7.456203962
10,N,62.36097859
10,P,6.100530514
10,P,8.134040685
10,C,8.472959047
10,NP,44.05938705
10,N,55.92152971
10,C,8.811877409
11,C,17.28483646
11,P,9.489714133
11,C,11.18430594
11,N,59.31071333
11,NP,70.49501927
11,NP,79.64581505
11,N,65.75016221
11,NP,103.3701004
11,N,62.02206023
11,C,18.6405099
11,NP,49.48208084
11,N,61.68314186
11,P,10.84538758
11,N,62.69989695
11,P,14.57348956
11,C,10.50646922
11,P,17.28483646
11,NP,101.6755086
11,P,12.87889775
11,C,11.86214267
12,NP,64.0555704
12,NP,71.172856
12,NP,22.36861189
12,P,29.14697912
12,N,52.19342773
12,N,51.51559101
12,N,11.18430594
12,NP,41.34804015
12,P,27.79130568
12,P,26.77455059
12,P,7.795122324
12,C,6.100530514
12,C,23.04644861
12,C,23.72428533
12,NP,21.01293844
12,N,11.86214267
12,P,34.56967291
12,C,27.11346895
12,C,8.472959047
12,N,10.50646922
13,N,72.52852945
13,N,55.24369299
13,C,31.85832602
13,N,51.51559101
13,NP,57.95503988
13,NP,67.10583566
13,P,18.97942827
13,C,26.77455059
