SiteID,ParamName,ParamDescription,variable,Unit,value
10118,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,45
10118,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,
10118,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,17
10118,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10118,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,11084
10118,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,
10118,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,
10118,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,
10118,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,
10118,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,
10118,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.963295
10118,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,
10118,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,
10118,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,
10118,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,
10118,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,
10118,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,
10118,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,
10118,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,
10118,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,
10118,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,
10118,LFP length,Length of longest flow path,LFPLENGTH,miles,8.48
10118,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-106.994398
10118,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,
10118,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,9553
10118,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,
10118,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,
10118,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,
10118,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,
10118,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,
10118,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,
10118,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,
10118,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,
10118,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,
10118,Time of concentration in hours,Time of concentration in hours,TOC,hours,
10231,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,29
10231,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,107.7
10231,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,91.7
10231,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10231,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10315
10231,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,14300
10231,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.17
10231,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.49
10231,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.02
10231,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,0.87
10231,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.405244
10231,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,4.1
10231,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.1
10231,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0.1
10231,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,69
10231,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,19.1
10231,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,2.8
10231,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,3.3
