SiteID,ParamName,variable,ParamDescription,value,ParamGroup
10118,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,664,Peak-Flow Statistics
10118,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,869,Peak-Flow Statistics
10118,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,481,Peak-Flow Statistics
10118,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,897,Peak-Flow Statistics
10118,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,732,Peak-Flow Statistics
10118,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,600,Peak-Flow Statistics
10118,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,829,Peak-Flow Statistics
10118,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,986,Peak-Flow Statistics
10118,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,422,Flood-Volume Statistics
10118,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,300,Flood-Volume Statistics
10118,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,521,Flood-Volume Statistics
10118,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,3.8,Low-Flow Statistics
10118,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,3.86,Low-Flow Statistics
10118,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,2.35,Low-Flow Statistics
10118,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,140,Flow-Duration Statistics
10118,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,32.6,Flow-Duration Statistics
10118,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,9.85,Flow-Duration Statistics
10118,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,5.26,Flow-Duration Statistics
10118,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,3.45,Flow-Duration Statistics
10118,Mean Annual Flow,QA,Mean Annual Flow,41.3,Annual Flow Statistics
10118,April Mean Flow,Q4,Mean April Flow,15.1,Monthly Flow Statistics
10118,August Mean Flow,Q8,Mean August Flow,31,Monthly Flow Statistics
