SiteID,HUC08
10118,14020001
10231,14020002
10232,14020002
10240,14020002
10267A,14020002
10268B,14020002
10283,14020002
10322,14020003
10324,14020003
10329,14020003
10767B,14030002
10769,14030002
10770A,14030002
10814,14030003
10815,14030003
10818,14030003
120,10180001
12554A,14010003
12554B,14010003
12555,14010003
12783B,14010004
12786B,14010004
12805B,14050001
12809,14050001
12811,14050001
12815,14050001
12940,10180001
12946,10180001
138A,14080104
5574,10190005
5577,10190005
5580,10190005
9240,14080102
9245,14080102
9274,14080102
9372,14080101
9717,14080107
9853,14080101
9862,14080101
