OBJECTID_1,Q1,I6H2Y,Q3,Q2,Q5,Q4,Q7,Q6,Q9,Q8,LC11SNOIC,Shape_Leng,RCN,BSLDEM10M,HydroID,SSURGOA,D50,D10,SSURGOB,OUTLETELEV,CSL1085LFP,LAT_OUT,LC11DEV,Edited,LFPLENGTH,LC11SHRUB,LC11FOREST,D75,D90,LC11GRASS,V7D10Y,RELATEDOID,Q11,RELIEF,ELEV,Q12,PK25,M7D2Y,LC11CRPHAY,STORNHD,Q10,PK2,PK500,Name,OBJECTID,PK5,I24H2Y,Descript,I6H100Y,V7D50Y,MINBELEV,GlobalWshd,LC11WATER,Qa,DRNAREA,DrainID,LC11BARE,FID_1,TOC,SSURGOC,LONG_OUT,M7D10Y,PK200,LC11WETLND,EL7500,I24H100Y,PK100,RUNCO_CO,D25,ORIG_FID,WARNINGMSG,HUCID,ELEVMAX,LC11IMP,PRECIP,PK10,V7D2Y,SSURGOD,PK50,STATSCLAY,M7D50Y,SiteID,Shape_Length,Shape_Area,CatchmentArea_sqKm
1,0,1.032,0,0,0,0,0,0,0,0,0,37800,97.4626,45,2,0,0,0,0.0034,9553.1234,265.8174,38.9633,1.0428,0,8.4796,0.5953,36.4225,0,0,33.737,0,,0,0,11084.366,0,0,0,0,0.2109,0,0,0,ags101,1,0,1.8134,W14020001,1.9795,0,9549.3174,1,0.1344,0,17.0083,2,19.0438,0,0.8084,0,-106.9944,0,0,8.9314,100,3.73,0,0.3472,0,1,,37800,13341.0377,1.3794,45.989,0,0,0,0,16.6934,0,10118,124862.827642538,474050210.421931,44.0408818241882
2,0,0.8683,0,0,0,0,0,0,0,0,0,121840,68.034,29,2,6,0,0,18.6426,8171.7896,107.7241,38.4052,0.1375,0,30.1387,3.3422,69.0439,0,0,19.1096,0,,0,0,10315.234,0,0,0,0,0.1107,0,0,0,ags101,1,0,1.4876,W14020002,2.016,0,8171.7896,1,0.0227,0,91.7115,2,4.0606,0,7.9862,70,-107.408,0,0,1.4867,100,3.1671,0,0.4235,0,1,,121840,14317.4305,2.8485,23.6166,0,0,3,0,29.7473,0,10231,403902.240544603,2556032434.9012,237.464133396507
3,0,0.7592,0,0,0,0,0,0,0,0,0,75380,75.2588,15,2,0,0,0,0,7469.8197,138.7703,38.4465,0.2773,0,17.662,33.2809,51.2869,0,0,12.9132,0,,0,0,9172.2649,0,0,0,0,0.0843,0,0,0,ags101,1,0,1.2147,W14020002,1.7197,0,7469.8197,1,0,0,27.129,2,0,0,5.9337,94,-107.3442,0,0,0.2122,99,2.5681,0,0.3969,0,1,,75380,11112.4186,2.8078,16.6372,0,0,6,0,35.6221,0,10232,250018.845037073,756059851.59853,70.2405395973298
4,0,0.8901,0,0,0,0,0,0,0,0,0,241420,71.9336,41,2,6,0,0,19.3375,7649.2247,52.2275,38.3518,0.4591,0,56.5755,6.776,52.2514,0,0,24.7462,0,,0,0,10735.9894,0,0,0,0,0.2362,0,0,0,ags101,1,0,1.5434,W14020002,2.1148,0,7649.2247,1,0.1934,0,370.7941,2,13.6025,0,10.0036,32,-107.2366,0,0,1.3106,100,3.2652,0,0.3816,0,1,,241420,14227.2686,1.4634,27.0468,0,0,37,0,23.1075,0,10240,797216.998488066,10335673876.9227,960.219364488326
5,0,0.9506,0,0,0,0,0,0,0,0,0,32520,74.159,54,2,0,0,0,19.9883,8976.7173,413.6024,38.6956,0,0,7.6548,0.0438,60.3925,0,0,22.5854,0,,0,0,10736.6456,0,0,0,0,0.0196,0,0,0,ags101,1,0,1.6482,W14020002,1.9406,0,8976.7173,1,0,0,9.4368,2,12.7314,0,1.6533,19,-107.0713,0,0,2.273,100,3.4397,0,0.4035,0,1,,32520,12965.4289,0.2001,29.4484,0,0,57,0,14.6416,0,10267A,107645.290393974,263080673.84463,24.4410921296854
6,0,0.9223,0,0,0,0,0,0,0,0,0,28320,64.7368,34,2,10,0,0,41.9462,8909.0303,469.9743,38.7958,0,0,5.3238,0.114,77.2483,0,0,16.4204,0,,0,0,10205.3533,0,0,0,0,0.1315,0,0,0,ags101,1,0,1.6624,W14020002,1.8111,0,8907.0289,1,0.0344,0,7.9603,2,3.9476,0,2.0091,5,-107.0878,0,0,1.1171,100,3.5112,0,0.4399,0,1,,28320,12061.9071,1.2011,32.1417,0,0,38,0,27.1506,0,10268B,93663.5904483805,221912473.568999,20.6164258741007
7,0,0.9075,0,0,0,0,0,0,0,0,0,140540,64.0652,28,2,17,0,0,17.1264,8824.4789,119.9543,38.1067,0.5196,0,24.4201,0.2872,56.5183,0,0,31.8718,0,,0,0,11051.4904,0,0,0,0,0.1474,0,0,0,ags101,1,0,1.5467,W14020002,2.1724,0,8823.9539,1,0.0577,0,171.4033,2,5.8099,0,7.6194,45,-107.035,0,0,4.368,100,3.1669,0,0.385,0,1,,140540,14012.3303,0.8007,25.1507,0,0,20,0,24.268,0,10283,463344.742551946,4778881488.88703,443.974394013132
8,0,0.838,0,0,0,0,0,0,0,0,0,234840,70.6769,19,2,4,0,0,15.9408,7997.7654,57.4674,38.4372,0.2909,0,51.3669,14.0103,48.0527,0,0,31.6694,0,,0,0,10045.0109,0,0,0,1,0.1298,0,0,0,ags101,1,0,1.3522,W14020003,1.9121,0,7997.7654,1,0.0585,0,379.1179,2,1.6849,0,14.079,56,-106.7624,0,0,2.3627,100,2.7619,0,0.3696,0,1,,234840,14011.8382,1.8767,19.0905,0,0,22,0,20.4898,0,10322,774246.048458881,10571659140.279,982.143200544576
9,0,0.8893,0,0,0,0,0,0,0,0,0,153600,67.4748,20,2,7,0,0,21.9272,9019.2391,83.9523,38.2239,0.043,0,29.4449,1.4857,49.0119,0,0,40.9694,0,,0,0,10539.4904,0,0,0,1,0.1379,0,0,0,ags101,1,0,1.4836,W14020003,2.0523,0,9017.7298,1,0.0707,0,162.2097,2,3.7754,0,9.5799,49,-106.744,0,0,3.7762,100,3.015,0,0.3627,0,1,,153600,14011.8382,1.5856,22.0178,0,0,21,0,19.4329,0,10324,506950.925441154,4523320485.58567,420.231904931123
10,0,1.0502,0,0,0,0,0,0,0,0,0,26000,70.7543,43,2,12,0,0,12.5148,10427.477,390.4317,38.0239,0,0,5.8659,0,40.9177,0,0,38.1661,0,,0,0,11986.1816,0,0,0,0,0.209,0,0,0,ags101,1,0,1.861,W14020003,2.5208,0,10427.477,1,0,0,5.56,2,15.5692,0,1.646,19,-106.8419,0,0,4.9413,100,3.77,0,0.3491,0,1,,26000,13808.3834,1.5244,30.93,0,0,57,0,18.396,0,10329,85892.9081354419,155013583.310371,14.401290735932
