contrast,estimate,SE,df,lower.CL,upper.CL
Undeveloped:N - Undeveloped:C,1.22420977123783,0.157422486982932,247.001693761389,0.770110642759998,1.67830889971566
Undeveloped:P - Undeveloped:C,0.031843589052394,0.157422486982932,247.001693761389,-0.422255539425435,0.485942717530223
Undeveloped:NP - Undeveloped:C,1.4715185429644,0.157422486982932,247.001693761389,1.01741941448657,1.92561767144223
Upstream:N - Upstream:C,0.423288114835162,0.162528695127954,247.083676174504,-0.0455388692139135,0.892115098884238
Upstream:P - Upstream:C,-0.431531569663903,0.167600415414765,247.820622670127,-0.914974895043147,0.0519117557153418
Upstream:NP - Upstream:C,0.906426412777469,0.162528695127954,247.083676174509,0.437599428728394,1.37525339682654
Downstream:N - Downstream:C,0.213372423663254,0.178395314401256,247.031180847416,-0.301224111521951,0.727968958848459
Downstream:P - Downstream:C,-0.349164661287437,0.178395314401256,247.031180847416,-0.863761196472642,0.165431873897768
Downstream:NP - Downstream:C,0.301577214897342,0.178395314401256,247.031180847416,-0.213019320287863,0.816173750082547
Upstream:C - Undeveloped:C,1.15688745036666,0.334026407312395,14.4172115169589,0.0254680458038163,2.28830685492951
Downstream:C - Undeveloped:C,1.67578289762729,0.357690514536415,14.3839314251905,0.463700314727578,2.887865480527
Downstream:C - Upstream:C,0.518895447260626,0.355764304406791,14.584615817317,-0.68365480886459,1.72144570338584
