Treatment,SiteType,emmean,SE,df,lower.CL,upper.CL,.group
C,Undeveloped,2.36236977494956,0.236419611349359,14.2363504223841,1.85608877925376,2.86865077064536, a      
P,Undeveloped,2.39421336400195,0.236419611349359,14.2363504223842,1.88793236830615,2.90049435969775, a      
P,Upstream,3.08772565565232,0.24147119956308,15.8422033265812,2.57541487778113,3.6000364335235, abc    
C,Upstream,3.51925722531622,0.236211186502528,14.5816875200885,3.01452410075743,4.02399034987501, abcde  
N,Undeveloped,3.58657954618738,0.236419611349359,14.2363504223842,3.08029855049159,4.09286054188318,  bcdefg
P,Downstream,3.68898801128941,0.264129550025526,14.2446280042671,3.12339782405491,4.25457819852391, ab d f 
NP,Undeveloped,3.83388831791396,0.236419611349359,14.2363504223842,3.32760732221816,4.34016931360975,  bcdefg
N,Upstream,3.94254534015138,0.23763218647123,14.9214215728548,3.43581191056902,4.44927876973374,    defg
C,Downstream,4.03815267257685,0.265796526307024,14.6027392373452,3.47027546889953,4.60602987625416,  bcdefg
N,Downstream,4.2515250962401,0.264129550025526,14.2446280042671,3.6859349090056,4.8171152834746,  bcdefg
NP,Downstream,4.33972988747419,0.264129550025526,14.2446280042671,3.77413970023968,4.90532007470869,   c e g
NP,Upstream,4.42568363809369,0.23763218647123,14.9214215728548,3.91895020851133,4.93241706767605,      fg
