contrast,estimate,SE,df,t.ratio,p.value
Undeveloped:N - Undeveloped:C,1.22420977123783,0.157422486982932,247.001693761389,7.77658766990867,2.21975119998489e-12
Undeveloped:P - Undeveloped:C,0.031843589052394,0.157422486982932,247.001693761389,0.20228106964062,0.839863507846803
Undeveloped:NP - Undeveloped:C,1.4715185429644,0.157422486982932,247.001693761389,9.34757524904268,6.6956164211708e-17
Upstream:N - Upstream:C,0.423288114835162,0.162528695127954,247.083676174504,2.60439004018287,0.0585686665204704
Upstream:P - Upstream:C,-0.431531569663903,0.167600415414765,247.820622670127,-2.5747643202195,0.0636729974771199
Upstream:NP - Upstream:C,0.906426412777469,0.162528695127954,247.083676174509,5.57702387300817,6.40413228986279e-07
Downstream:N - Downstream:C,0.213372423663254,0.178395314401256,247.031180847416,1.19606517906253,0.465635774047848
Downstream:P - Downstream:C,-0.349164661287437,0.178395314401256,247.031180847416,-1.95725242257248,0.230484372672126
Downstream:NP - Downstream:C,0.301577214897342,0.178395314401256,247.031180847416,1.69049964069695,0.310423849365232
Upstream:C - Undeveloped:C,1.15688745036666,0.334026407312395,14.4172115169589,3.46346104691265,0.0282991099898311
Downstream:C - Undeveloped:C,1.67578289762729,0.357690514536415,14.3839314251905,4.68500793150522,0.00294340983253317
Downstream:C - Upstream:C,0.518895447260626,0.355764304406791,14.584615817317,1.4585371293105,0.349226830535886
