varLong,Count,Min,P10,P25,Median,GeoMean,SD,P75,P90,Max
Avg Annual Flow (cfs),38,7.84,11.5,42.7,76.8,66.546272618771,99.2013771025563,112,205.5,509.163079903615
Avg Basin Slope (%),38,15,18,21.25,33.5,31.4321634114982,12.6416863307835,42,53.3,59
Canopy Openness,18,0.00144495604537734,0.182024507859561,0.249697527996293,0.58315746607835,0.362393401548581,0.326611567932929,0.87017256744873,0.97155822951617,0.98460817845818
Catchment Area (sq/km),38,9.8937618,38.15573268,107.0960865,222.3506415,187.357417138356,356.581943720067,437.0608125,850.293717000001,1642.05366
"Chlorophyll a, Control (mg/m2)",38,6.16831418648143,8.52040761802984,16.26808137094,30.6438685546354,27.8336058143329,43.2074341131169,46.0844242586161,64.1782740150945,246.732567459257
"Chlorophyll a, N+P (mg/m2)",38,11.7265753215526,29.4384489141636,41.7039044311286,67.0908548388462,65.9990283929113,57.8522293326632,115.813043176454,172.543338040533,236.395557421473
"Chlorophyll a, Nitrogen (mg/m2)",38,13.1500324415099,25.4154879584749,34.1325510415934,64.6656234494867,61.6555650481654,47.5997591800588,103.636673555184,129.601438709256,208.773710927064
"Chlorophyll a, Phosphorus (mg/m2)",38,3.66031830846151,6.41911377428342,12.1375138353498,18.7421854127706,19.0538441262402,23.8066782004803,31.9261096904698,60.3613602534255,116.248998129842
Elevation (ft),38,5068,6580,7504.25,8041.5,7820.7825205716,1053.28369052071,8572.75,8978.2,10427
Nitrogen Response Ratio,38,0.763331690656295,1.01382888593675,1.09180543920305,1.20187211087556,1.26159901063191,0.307909929130823,1.47329218731471,1.63964858239074,2.26736504540694
Phosphorus Response Ratio,38,0.555522147271106,0.706954695141782,0.811897687698086,0.873917102660233,0.879896453071666,0.176701990417956,0.974788741552985,1.10515751101533,1.50414556033393
TN (mg/L),38,0.105,0.1275,0.15625,0.2,0.262834398379436,0.562490236994459,0.39875,0.771500000000001,3.455
TP (mg/L),38,0.0015,0.008065,0.011125,0.03775,0.0330288602083304,0.178861415997542,0.07725,0.1315,0.94
Water Temperature (C),38,10.975,12.7835,13.71875,16.045,16.0367365879147,3.37739793113075,18.06,21.92,22.515
